	Name	Square	Population	Workers	MeanMonthIncome	MeanMonthCost	MeanMonthSalary	GDP	CapitalInvestments	Funds	MineralsVolume	ManufactoreVolume	EnergyVolume	WaterVolume	AgricultureVolume	VegetableVolume	AnimalVolume	NewBuildingSquare	RetailOverturn	FinResult
47	Республика Северная Осетия - Алания	8.0	701.8	289.7	22773.0	17039.0	24715.0	125498.3	26807.0	271077.0	661.0	27588.0	6697.0	1542.0	21926.6	9581.7	12344.9	192.2	109722.5	-362.0
48	Чеченская Республика	15.6	1437.0	513.5	22202.0	13187.0	23249.0	166711.2	65403.0	538579.0	5593.0	10186.0	14379.0	1408.0	25966.9	8796.1	17170.8	1069.3	158382.6	-11375.0
49	Ставропольский край	66.2	2800.7	1233.7	23403.0	20188.0	26645.0	651925.0	139983.0	1777107.0	10659.0	262211.0	82964.0	10071.0	187991.3	130684.5	57306.8	882.1	478774.5	48780.0
51	Республика Башкортостан	142.9	4063.3	1730.1	28442.0	23282.0	30358.0	1344360.1	260894.0	3121321.0	233703.0	1082923.0	122987.0	22875.0	157270.1	64303.5	92966.6	2460.5	841128.4	261733.0
52	Республика Марий Эл	23.4	682.3	291.7	19017.0	13549.0	25440.0	160464.0	24016.0	418477.0	656.0	152086.0	11546.0	4671.0	38912.7	8319.3	30593.4	470.3	81990.7	7685.0
53	Республика Мордовия	26.1	805.0	387.1	18065.0	12221.0	24327.0	198132.8	59916.0	628911.0	77.3	167180.0	11745.0	3347.0	59724.0	23274.1	36449.9	330.1	87397.4	-62558.0
54	Республика Татарстан	67.8	3894.3	1945.1	31719.0	25204.0	32324.0	1937637.1	637612.0	4658900.0	547515.0	1596330.0	126863.0	28212.0	235291.8	118959.2	116332.6	2408.1	843942.5	314185.0
55	Удмуртская Республика	42.1	1513.0	710.2	23925.0	16656.0	28995.0	540115.0	79951.0	1245800.0	191064.0	321066.0	37608.0	7071.0	65189.8	22751.6	42438.2	658.6	221458.1	103052.0
56	Чувашская Республика	18.3	1231.1	528.0	17892.0	13783.0	24530.0	261574.3	51931.0	790343.0	706.0	172565.0	24578.0	6248.0	38736.9	17467.6	21269.3	605.0	142187.0	-837089.0
57	Пермский край	160.2	2623.1	1164.5	28655.0	21908.0	32952.0	1091268.7	253802.0	3397061.0	294130.0	933960.0	118342.0	24411.0	41397.6	12759.9	28637.6	1101.1	502334.2	142130.0
58	Кировская область	120.4	1283.3	586.7	21560.0	16429.0	25215.0	290990.3	57021.0	849714.0	1107.0	199822.0	39382.0	4776.0	39271.8	12945.5	26326.3	545.8	184352.6	9717.0
59	Нижегородская область	76.6	3234.8	1658.7	30742.0	23485.0	30387.0	1182265.0	244071.0	2918512.0	1168.0	1237833.0	99013.0	29172.0	68976.8	31250.5	37726.4	1308.1	696909.3	143309.0
60	Оренбургская область	123.7	1977.7	926.8	22689.0	16769.0	27445.0	772107.3	181713.0	2198450.0	389692.0	304238.0	57928.0	13608.0	113038.3	59200.2	53838.1	892.0	293997.0	91494.0
61	Пензенская область	43.4	1331.7	606.6	21611.0	16588.0	26238.0	338589.0	72546.0	986237.0	890.0	195823.0	22153.0	5329.0	73919.4	36042.2	37877.2	886.9	199178.8	9473.0
62	Самарская область	53.6	3193.5	1656.8	26988.0	21536.0	30492.0	1275063.6	251464.0	3258454.0	273744.0	969528.0	115780.0	40487.0	87488.7	54456.4	33032.2	1787.7	613578.0	124775.0
